"rank","Player","GP","alpha","lq","uq","median_rank","rank_uq","rank_lq","rank_range","prob_rank1","prob_top25"
682,"PJ Cummins",58,2.89989899001018,2.53730283679459,3.28943579427595,672,446.95,772.025,325.075,0,0
683,"Tapash Baisya",41,2.89670755947494,2.43639380642959,3.44625111248701,681,313.925,783.025,469.1,0,0
684,"GRJ Matthews",49,2.89199133644593,2.52349289194304,3.28896354276781,675,453.875,774,320.125,0,0
685,"N Vanua",53,2.8809103958727,2.51214543151956,3.25600331821486,682,463,773.025,310.025,0,0
686,"Sohail Tanvir",38,2.88050614786388,2.50121400117989,3.28658636013702,685.5,445.975,775.025,329.05,0,0
687,"AJ Hosein",30,2.87967201918731,2.44283293420986,3.35539668963007,679,390.925,784,393.075,0,0
688,"JR Ratnayeke",73,2.87772500150221,2.56576093789537,3.2153959860866,683,497.975,764.05,266.075,0,0
689,"Mirwais Ashraf",36,2.87599028147129,2.47010315954182,3.32155140929813,683,423.975,781,357.025,0,0
690,"A Dananjaya",30,2.87553328935515,2.42770967103751,3.32022864930433,682,421,785,364,0,0
691,"DNT Zoysa",43,2.87416845775277,2.4668487902784,3.32948870154321,680.5,417.875,782,364.125,0,0
692,"IDS Smith",77,2.87395591096784,2.5865780992543,3.17750506004942,685.5,529.975,759,229.025,0,0
693,"ADS Fletcher",31,2.87146443306215,2.48800796567456,3.34040529482032,683,417.875,777.025,359.15,0,0
694,"R Trumpelmann",40,2.8712646142301,2.49416510137841,3.27293368575431,685,449,777,328,0,0
695,"RC Irani",30,2.86859175927279,2.4214009561766,3.3830829703102,689,375,788,413,0,0
696,"RDB Croft",36,2.86269313217229,2.42542756807236,3.30848035597082,686.5,437.8,788,350.2,0,0
697,"Wahab Riaz",66,2.85823928002899,2.51965387883332,3.21275234910272,689,507.975,773.025,265.05,0,0
698,"B Kumar",52,2.85584172233593,2.51699501039686,3.1978835626727,688,515.925,775,259.075,0,0
699,"LM Jongwe",36,2.85539842661154,2.46109982361077,3.29672656030616,690.5,440.975,782.025,341.05,0,0
700,"MD Marshall",82,2.85478712072849,2.56532653449561,3.15393502635619,689,535,765,230,0,0
701,"AG Cremer",68,2.8539639918158,2.52908721834618,3.19504515020012,690,515.975,774,258.025,0,0
702,"P Kumar",33,2.8496315923673,2.39252966944247,3.33903161922978,694,401.75,790.025,388.275,0,0
703,"CR Brathwaite",37,2.84916189052087,2.44001966657827,3.24395391636452,690,477.825,783,305.175,0,0
704,"Aaqib Javed",49,2.84108590990636,2.38275091086588,3.3646606710525,698,391.875,790.025,398.15,0,0
705,"DP Viljoen",41,2.83799000911926,2.4784820680873,3.22035863680826,699,493,781,288,0,0
706,"NW Bracken",34,2.83667661894368,2.29916942862373,3.41861608839489,699,348.95,800,451.05,0,0
707,"R Ngarava",34,2.83291682374632,2.35979797735096,3.36052872774178,700,394.95,794.025,399.075,0,0
708,"Khaled Mahmud",72,2.82910040350196,2.50882602354505,3.14618851755842,696,541.95,773,231.05,0,0
709,"Al Sahariar",39,2.82388727275781,2.41422959269621,3.27310696592694,701,457.975,786.025,328.05,0,0
710,"AC Cummins",47,2.82067667619087,2.44263776421466,3.22760547535793,702,493.85,783,289.15,0,0
711,"EA Brandes",40,2.81731539156629,2.4536434103296,3.23268345915742,706.5,491.975,782,290.025,0,0
712,"AB Agarkar",113,2.81553679465208,2.55499765069403,3.0908586985024,702,576.95,767.025,190.075,0,0
713,"Saqlain Mushtaq",94,2.81545733843599,2.48992021898945,3.23044992432826,705,492,779.025,287.025,0,0
714,"Abdur Razzak",95,2.81506437544647,2.5252948747086,3.14062643228176,704,548,773.025,225.025,0,0
715,"GR Larsen",69,2.81350167437953,2.47179654534114,3.23729857453215,708,491.95,779,287.05,0,0
716,"DJ Nash",53,2.80537844799282,2.46900457751617,3.17915029211325,708,521.975,779,257.025,0,0
717,"H Hiri",36,2.8017694970039,2.4119753035177,3.2244540121249,707,493,788,295,0,0
718,"PM Seelaar",37,2.79993854771965,2.38324285847616,3.27647190657111,709,458.725,793,334.275,0,0
719,"KS More",65,2.79026954805973,2.45880157626568,3.1351415719503,711,552,781,229,0,0
720,"Hasan Ali",39,2.78875388379904,2.3789795056437,3.24992291719233,714,474,793,319,0,0
